Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.immunizations-measles.json	31863	-	0	0	0	0	0	0	8	147	0	0	0	0	0	0	0	1	0	0	283	336	0	0	0	0	24	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1586	7	1	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1385	9	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2085	9	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	738	5	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	701	4	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	539	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5923	15	1	0	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0	0	46	21992	0	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3269	7	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	28	234	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1040	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	13	214	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2617	6	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	27	214	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2723	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	28	213	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1627	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	201	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	1003	4	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	198	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	7439	16	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0	0	0	0	66	45	0	0	0	0	2	0	1
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2355	6	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	25	23	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6706	14	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	56	40	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6362	20	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	1	0	0	54	37	0	0	0	0	1	0	0
fsh-generated/resources/Immunization-Immunization1.json	872	4	0	0	0	0	0	0	1	74	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	0	0	0	0
fsh-generated/resources/Library-FHIRCommon.json	789	4	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	837	34	0	0	0	0	37	0	0
fsh-generated/resources/Library-FHIRHelpers.json	979	3	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	1540	132	0	0	0	0	35	0	0
fsh-generated/resources/Library-IMMZCommon.json	791	4	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	562	35	0	0	0	0	17	0	0
fsh-generated/resources/Library-IMMZCommonIzDataElements.json	861	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	103	17	0	0	0	0	2	0	0
fsh-generated/resources/Library-IMMZConcepts.json	775	3	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	122	22	0	0	0	0	2	0	0
fsh-generated/resources/Library-IMMZConfig.json	765	4	1	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	116	24	0	0	0	0	10	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesLogic.json	853	4	0	0	0	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	405	38	0	0	0	0	10	0	0
fsh-generated/resources/Library-IMMZDT08.json	790	3	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	535	47	0	0	0	0	27	0	0
fsh-generated/resources/Library-IMMZIND08.json	783	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	0	1	0	0
fsh-generated/resources/Library-IMMZINDMeasles.json	809	3	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	119	19	0	0	0	0	2	0	0
fsh-generated/resources/Library-IMMZIndicatorCommon.json	836	4	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	509	40	0	0	0	0	10	0	0
fsh-generated/resources/Library-IMMZVaccineLibrary.json	826	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	47	14	0	0	0	0	1	0	0
fsh-generated/resources/Library-WHOCommon.json	794	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	311	24	0	0	0	0	6	0	0
fsh-generated/resources/Library-WHOConcepts.json	785	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	44	15	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3302	8	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	23	16	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3303	7	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0	0	1	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1002	3	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	693	3	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0
