Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.immunizations-measles.json	35691	-	0	0	0	0	0	0	10	82	0	0	0	0	0	0	0	1	1	0	232	176	0	0	0	0	12	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1561	9	1	0	0	1	0	0	0	177	0	0	0	0	0	0	0	0	0	0	40	28	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1360	7	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	29	21	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	1572	7	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	42	22	0	0	0	0	0	0	1
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	737	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	27	34	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	700	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	25	41	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	538	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	24	38	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	6158	10	1	0	1	0	0	0	1	21	0	0	1	0	0	0	0	0	0	0	61	2581	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-IMMZConcepts.json	12863	9	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	1	0	0	92	133	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	1208	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	61	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToAdministrativeGender.json	2584	7	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	36	44	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToICD11.json	6164	8	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	61	49	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToLOINC.json	6360	9	0	0	0	0	0	0	1	1654	0	0	0	0	0	0	0	0	0	0	60	44	0	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-IMMZConceptsToSNOMED.json	8760	8	0	0	0	0	0	0	1	5079	0	0	0	0	0	0	0	0	0	0	85	52	0	0	0	0	2	0	0
fsh-generated/resources/Immunization-Immunization1.json	872	8	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	34	31	0	0	0	0	0	0	0
fsh-generated/resources/Library-IMMZCommon.json	1095	7	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	435	37	0	0	0	0	14	0	0
fsh-generated/resources/Library-IMMZConcepts.json	1079	8	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	227	25	0	0	0	0	5	0	0
fsh-generated/resources/Library-IMMZConfig.json	1069	7	0	0	0	0	0	0	1	700	0	0	0	0	0	0	0	0	0	0	218	26	0	0	0	0	5	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesDose0Logic.json	1189	7	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	1	0	0	281	28	0	0	0	0	11	0	1
fsh-generated/resources/Library-IMMZD2DTMeaslesLTLogic.json	1174	5	0	0	0	0	0	0	1	443	0	0	0	0	0	0	0	0	0	0	376	33	0	0	0	0	12	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesLogic.json	1157	4	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	200	26	0	0	0	0	6	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesOTLogic.json	1174	4	0	0	0	0	0	0	1	428	0	0	0	0	0	0	0	0	0	0	392	33	0	0	0	0	12	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesSupplementaryLogic.json	1229	4	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	230	27	0	0	0	0	9	0	0
fsh-generated/resources/Library-IMMZD5DTMeaslesCILogic.json	1174	4	0	0	0	0	0	0	1	147	0	0	0	0	0	0	0	0	0	0	109	25	0	0	0	0	3	0	0
fsh-generated/resources/Library-IMMZElements.json	1099	4	1	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	1556	63	0	0	0	0	53	0	0
fsh-generated/resources/Library-IMMZEncounterElements.json	1140	4	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	1534	135	0	0	0	0	53	0	0
fsh-generated/resources/Library-IMMZIND08Logic.json	1115	4	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	210	26	0	0	0	0	8	0	0
fsh-generated/resources/Library-IMMZIND12Logic.json	1121	4	0	0	0	0	0	0	1	178	0	0	0	0	0	0	0	0	0	0	139	24	0	0	0	0	3	0	0
fsh-generated/resources/Library-IMMZIND13Logic.json	1121	4	0	0	0	0	0	0	10	189	0	0	0	0	0	0	0	0	0	0	143	24	0	0	0	0	3	0	0
fsh-generated/resources/Library-IMMZIndicatorElements.json	1169	4	0	0	0	0	0	0	0	541	0	0	0	0	0	0	0	0	0	0	1271	56	0	0	0	0	38	0	0
fsh-generated/resources/Library-IMMZVaccineLibrary.json	1130	4	0	0	0	0	0	0	1	137	0	0	0	0	0	0	0	0	0	0	90	22	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOCommon.json	1112	4	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	2328	159	0	0	0	0	71	0	0
fsh-generated/resources/Library-WHOConcepts.json	1103	4	1	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	91	44	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOElements.json	1116	4	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	112	42	0	0	0	0	2	0	0
