Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.immunizations-measles.json	31860	-	0	0	0	0	0	0	3	117	0	0	0	0	0	0	0	1	0	0	263	265	0	0	0	1	10	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1586	11	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	28	16	0	0	0	0	1	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1385	11	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	24	22	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2085	13	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	31	20	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	738	8	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	701	8	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	23	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	539	8	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	13	35	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	5923	56	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0	0	51	22237	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3269	15	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	29	358	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE1.json	1040	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	343	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.DE5.json	2617	12	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	23	322	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	2723	13	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	25	237	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1627	10	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17	207	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	1003	12	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	216	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZCConceptMap.json	7439	28	0	0	0	0	0	0	0	262015	0	0	0	0	0	0	0	0	0	0	80	54	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2355	13	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	35	30	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZD1ConceptMap.json	6706	26	0	0	0	0	0	0	1	7081	0	0	0	0	0	0	0	0	0	0	63	44	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZD4ConceptMap.json	6362	25	0	0	0	0	0	0	0	12369	0	0	0	0	0	0	0	1	0	0	72	48	0	0	0	0	1	0	0
fsh-generated/resources/Immunization-Immunization1.json	872	9	0	0	0	0	0	0	0	495	0	0	1	0	0	0	0	0	0	0	17	31	0	0	0	0	0	0	0
fsh-generated/resources/Library-FHIRCommon.json	789	8	0	0	0	0	0	0	1	103	0	0	0	0	0	0	0	0	0	0	2608	163	0	0	0	0	68	0	0
fsh-generated/resources/Library-FHIRHelpers.json	979	9	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	4647	184	0	0	0	0	71	0	0
fsh-generated/resources/Library-IMMZCommon.json	791	8	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	1659	52	0	0	0	0	34	0	0
fsh-generated/resources/Library-IMMZCommonIzDataElements.json	861	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	188	16	0	0	0	0	4	0	0
fsh-generated/resources/Library-IMMZConcepts.json	775	9	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	215	18	0	0	0	0	3	0	1
fsh-generated/resources/Library-IMMZConfig.json	765	8	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	256	22	0	0	0	0	5	0	0
fsh-generated/resources/Library-IMMZD2DTMeaslesLogic.json	853	9	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1033	39	0	0	0	0	20	0	0
fsh-generated/resources/Library-IMMZDT08.json	790	8	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	1	0	0	1473	55	0	0	0	0	34	0	0
fsh-generated/resources/Library-IMMZIND08.json	783	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	11	0	0	0	0	0	0	0
fsh-generated/resources/Library-IMMZINDMeasles.json	809	8	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	297	18	0	0	0	0	6	0	0
fsh-generated/resources/Library-IMMZIndicatorCommon.json	836	9	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	1492	90	0	0	0	0	28	0	0
fsh-generated/resources/Library-IMMZVaccineLibrary.json	826	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	91	14	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOCommon.json	794	9	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	885	33	0	0	0	0	15	0	0
fsh-generated/resources/Library-WHOConcepts.json	785	8	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	74	13	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3302	15	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	24	14	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3303	15	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	25	13	0	0	0	0	1	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1002	9	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	693	9	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	459	7	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	8	1	0	0	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1517	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2280	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0	0
